Model,Best Parameters,CV Score,Training Accuracy
Random Forest,"{'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.8451007469713139,0.9090909090909091
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}",0.8506936162199485,0.8978675645342312
XGBoost,"{'colsample_bytree': 1.0, 'learning_rate': 0.3, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",0.8462243424769318,0.8978675645342312
